Id,Text,Layanan,Program,Sarana dan Prasarana,Teknis,sentimen,preprocessed,tweet_tokens,stemmed_only,stopword_only,stemmed_stopword,stemmed_only_string,stopword_only_string,stemmed_stopword_string
298,Acara nya bagus,0,1,0,0,positif,acara nya bagus,"['acara', 'nya', 'bagus']","['acara', 'nya', 'bagus']","['acara', 'bagus']","['acara', 'bagus']",acara nya bagus,acara bagus,acara bagus
88,Acara nya kaya  an....,0,1,0,0,negatif,acara nya kaya an,"['acara', 'nya', 'kaya', 'an']","['acara', 'nya', 'kaya', 'an']","['acara', 'kaya', 'an']","['acara', 'kaya', 'an']",acara nya kaya an,acara kaya an,acara kaya an
160,Acara ruwatan bersama yg sangat sakral dan ditunggu masyarakat. Sangat bermanfaat sekali.,0,1,1,0,positif,acara ruwatan bersama yg sangat sakral dan ditunggu masyarakat sangat bermanfaat sekali,"['acara', 'ruwatan', 'bersama', 'yg', 'sangat', 'sakral', 'dan', 'ditunggu', 'masyarakat', 'sangat', 'bermanfaat', 'sekali']","['acara', 'ruwat', 'sama', 'yg', 'sangat', 'sakral', 'dan', 'tunggu', 'masyarakat', 'sangat', 'manfaat', 'sekali']","['acara', 'ruwatan', 'sakral', 'ditunggu', 'masyarakat', 'bermanfaat']","['acara', 'ruwat', 'sakral', 'tunggu', 'masyarakat', 'manfaat']",acara ruwat sama yg sangat sakral dan tunggu masyarakat sangat manfaat sekali,acara ruwatan sakral ditunggu masyarakat bermanfaat,acara ruwat sakral tunggu masyarakat manfaat
241,Acaranya bagus,0,1,0,0,positif,acaranya bagus,"['acaranya', 'bagus']","['acara', 'bagus']","['acaranya', 'bagus']","['acara', 'bagus']",acara bagus,acaranya bagus,acara bagus
274,Acaranya menarik,0,1,0,0,positif,acaranya menarik,"['acaranya', 'menarik']","['acara', 'tarik']","['acaranya', 'menarik']","['acara', 'tarik']",acara tarik,acaranya menarik,acara tarik
488,Ada yg bisa jawab ga ?<br>Di RRI pernah ada sandiwara :mat sani dari tanah abang .<br>Perkiraan thn brp sandiwara tsb trmksih.,0,1,0,0,positif,ada yg bisa jawab ga br di rri pernah ada sandiwara mat sani dari tanah abang br perkiraan thn brp sandiwara tsb trmksih,"['ada', 'yg', 'bisa', 'jawab', 'ga', 'br', 'di', 'rri', 'pernah', 'ada', 'sandiwara', 'mat', 'sani', 'dari', 'tanah', 'abang', 'br', 'perkiraan', 'thn', 'brp', 'sandiwara', 'tsb', 'trmksih']","['ada', 'yg', 'bisa', 'jawab', 'ga', 'br', 'di', 'rri', 'pernah', 'ada', 'sandiwara', 'mat', 'sani', 'dari', 'tanah', 'abang', 'br', 'kira', 'thn', 'brp', 'sandiwara', 'tsb', 'trmksih']","['br', 'rri', 'sandiwara', 'mat', 'sani', 'tanah', 'abang', 'br', 'perkiraan', 'thn', 'brp', 'sandiwara', 'tsb', 'trmksih']","['br', 'rri', 'sandiwara', 'mat', 'sani', 'tanah', 'abang', 'br', 'kira', 'thn', 'brp', 'sandiwara', 'tsb', 'trmksih']",ada yg bisa jawab ga br di rri pernah ada sandiwara mat sani dari tanah abang br kira thn brp sandiwara tsb trmksih,br rri sandiwara mat sani tanah abang br perkiraan thn brp sandiwara tsb trmksih,br rri sandiwara mat sani tanah abang br kira thn brp sandiwara tsb trmksih
462,Agar diperbarui serta kemudahan penggunaannya.,0,0,0,1,positif,agar diperbarui serta kemudahan penggunaannya,"['agar', 'diperbarui', 'serta', 'kemudahan', 'penggunaannya']","['agar', 'baru', 'serta', 'mudah', 'guna']","['diperbarui', 'kemudahan', 'penggunaannya']","['baru', 'mudah', 'guna']",agar baru serta mudah guna,diperbarui kemudahan penggunaannya,baru mudah guna
303,Ah jalannya bagus,0,0,1,0,positif,ah jalannya bagus,"['ah', 'jalannya', 'bagus']","['ah', 'jalan', 'bagus']","['ah', 'jalannya', 'bagus']","['ah', 'jalan', 'bagus']",ah jalan bagus,ah jalannya bagus,ah jalan bagus
523,Ah malas aku dengar siaran SW suaranya timbul-tenggelam bersyukur ada internet siaran streaming suaranya jernih bebas gangguan dan tidak mungkin timbul tenggelam.,0,0,0,1,negatif,ah malas aku dengar siaran sw suaranya timbul tenggelam bersyukur ada internet siaran streaming suaranya jernih bebas gangguan dan tidak mungkin timbul tenggelam,"['ah', 'malas', 'aku', 'dengar', 'siaran', 'sw', 'suaranya', 'timbul', 'tenggelam', 'bersyukur', 'ada', 'internet', 'siaran', 'streaming', 'suaranya', 'jernih', 'bebas', 'gangguan', 'dan', 'tidak', 'mungkin', 'timbul', 'tenggelam']","['ah', 'malas', 'aku', 'dengar', 'siar', 'sw', 'suara', 'timbul', 'tenggelam', 'syukur', 'ada', 'internet', 'siar', 'streaming', 'suara', 'jernih', 'bebas', 'ganggu', 'dan', 'tidak', 'mungkin', 'timbul', 'tenggelam']","['ah', 'malas', 'dengar', 'siaran', 'sw', 'suaranya', 'timbul', 'tenggelam', 'bersyukur', 'internet', 'siaran', 'streaming', 'suaranya', 'jernih', 'bebas', 'gangguan', 'timbul', 'tenggelam']","['ah', 'malas', 'dengar', 'siar', 'sw', 'suara', 'timbul', 'tenggelam', 'syukur', 'internet', 'siar', 'streaming', 'suara', 'jernih', 'bebas', 'ganggu', 'timbul', 'tenggelam']",ah malas aku dengar siar sw suara timbul tenggelam syukur ada internet siar streaming suara jernih bebas ganggu dan tidak mungkin timbul tenggelam,ah malas dengar siaran sw suaranya timbul tenggelam bersyukur internet siaran streaming suaranya jernih bebas gangguan timbul tenggelam,ah malas dengar siar sw suara timbul tenggelam syukur internet siar streaming suara jernih bebas ganggu timbul tenggelam
140,Ahh...apapun jd nya sekarang...RRI MSH LAH KERENMS LALU...APA LG BAGI MSRKAT YG DI PDLMANYG JUAUH DR KERAMAIN...TP KINI SMPAI DI MNKAH FREUENSIMU KINI..<br>RAKYAT TRTAMA YG MSH TGGAL DI PDLMAN MSH MNGGUDAN TRS MNANTI FREENSIMU. SPR DULU,1,1,0,1,positif,ahh apapun jd nya sekarang rri msh lah keren ms lalu apa lg bagi msrkat yg di pdlman yg juauh dr keramain tp kini smpai di mnkah freuensimu kini br rakyat trtama yg msh tggal di pdlman msh mnggu dan trs mnanti freensimu spr dulu,"['ahh', 'apapun', 'jd', 'nya', 'sekarang', 'rri', 'msh', 'lah', 'keren', 'ms', 'lalu', 'apa', 'lg', 'bagi', 'msrkat', 'yg', 'di', 'pdlman', 'yg', 'juauh', 'dr', 'keramain', 'tp', 'kini', 'smpai', 'di', 'mnkah', 'freuensimu', 'kini', 'br', 'rakyat', 'trtama', 'yg', 'msh', 'tggal', 'di', 'pdlman', 'msh', 'mnggu', 'dan', 'trs', 'mnanti', 'freensimu', 'spr', 'dulu']","['ahh', 'apa', 'jd', 'nya', 'sekarang', 'rri', 'msh', 'lah', 'keren', 'ms', 'lalu', 'apa', 'lg', 'bagi', 'msrkat', 'yg', 'di', 'pdlman', 'yg', 'juauh', 'dr', 'keramain', 'tp', 'kini', 'smpai', 'di', 'mnkah', 'freuensimu', 'kini', 'br', 'rakyat', 'trtama', 'yg', 'msh', 'tggal', 'di', 'pdlman', 'msh', 'mnggu', 'dan', 'trs', 'mnanti', 'freensimu', 'spr', 'dulu']","['ahh', 'apapun', 'rri', 'msh', 'keren', 'ms', 'lg', 'msrkat', 'pdlman', 'juauh', 'dr', 'keramain', 'tp', 'smpai', 'mnkah', 'freuensimu', 'br', 'rakyat', 'trtama', 'msh', 'tggal', 'pdlman', 'msh', 'mnggu', 'trs', 'mnanti', 'freensimu', 'spr']","['ahh', 'apa', 'rri', 'msh', 'keren', 'ms', 'lg', 'msrkat', 'pdlman', 'juauh', 'dr', 'keramain', 'tp', 'smpai', 'mnkah', 'freuensimu', 'br', 'rakyat', 'trtama', 'msh', 'tggal', 'pdlman', 'msh', 'mnggu', 'trs', 'mnanti', 'freensimu', 'spr']",ahh apa jd nya sekarang rri msh lah keren ms lalu apa lg bagi msrkat yg di pdlman yg juauh dr keramain tp kini smpai di mnkah freuensimu kini br rakyat trtama yg msh tggal di pdlman msh mnggu dan trs mnanti freensimu spr dulu,ahh apapun rri msh keren ms lg msrkat pdlman juauh dr keramain tp smpai mnkah freuensimu br rakyat trtama msh tggal pdlman msh mnggu trs mnanti freensimu spr,ahh apa rri msh keren ms lg msrkat pdlman juauh dr keramain tp smpai mnkah freuensimu br rakyat trtama msh tggal pdlman msh mnggu trs mnanti freensimu spr
86,Akhirnya muncul juga Bintang Radio dan TV yg masa jayanya sangat ditunggu ,0,0,0,0,positif,akhirnya muncul juga bintang radio dan tv yg masa jayanya sangat ditunggu ,"['akhirnya', 'muncul', 'juga', 'bintang', 'radio', 'dan', 'tv', 'yg', 'masa', 'jayanya', 'sangat', 'ditunggu']","['akhir', 'muncul', 'juga', 'bintang', 'radio', 'dan', 'tv', 'yg', 'masa', 'jaya', 'sangat', 'tunggu']","['muncul', 'bintang', 'radio', 'tv', 'jayanya', 'ditunggu']","['muncul', 'bintang', 'radio', 'tv', 'jaya', 'tunggu']",akhir muncul juga bintang radio dan tv yg masa jaya sangat tunggu,muncul bintang radio tv jayanya ditunggu,muncul bintang radio tv jaya tunggu
345,Aktivitas sepi,0,0,0,0,positif,aktivitas sepi,"['aktivitas', 'sepi']","['aktivitas', 'sepi']","['aktivitas', 'sepi']","['aktivitas', 'sepi']",aktivitas sepi,aktivitas sepi,aktivitas sepi
87,Aku finalis BRTV RRI BANDUNG .....SAYANG BNGT YA GARAPAN NASIONAL KO GINI AMAT??????,0,1,0,0,negatif,aku finalis brtv rri bandung sayang bngt ya garapan nasional ko gini amat,"['aku', 'finalis', 'brtv', 'rri', 'bandung', 'sayang', 'bngt', 'ya', 'garapan', 'nasional', 'ko', 'gini', 'amat']","['aku', 'final', 'brtv', 'rri', 'bandung', 'sayang', 'bngt', 'ya', 'garap', 'nasional', 'ko', 'gin', 'amat']","['finalis', 'brtv', 'rri', 'bandung', 'sayang', 'bngt', 'garapan', 'nasional', 'ko', 'gini']","['final', 'brtv', 'rri', 'bandung', 'sayang', 'bngt', 'garap', 'nasional', 'ko', 'gin']",aku final brtv rri bandung sayang bngt ya garap nasional ko gin amat,finalis brtv rri bandung sayang bngt garapan nasional ko gini,final brtv rri bandung sayang bngt garap nasional ko gin
637,Aku putar berulang-ulang. Bukan hanya ada haru karena siaran RRI berakhir tapi suara radio dan para penyiar RRI bagiku begitu khas  ,0,0,0,0,positif,aku putar berulang ulang bukan hanya ada haru karena siaran rri berakhir tapi suara radio dan para penyiar rri bagiku begitu khas  ,"['aku', 'putar', 'berulang', 'ulang', 'bukan', 'hanya', 'ada', 'haru', 'karena', 'siaran', 'rri', 'berakhir', 'tapi', 'suara', 'radio', 'dan', 'para', 'penyiar', 'rri', 'bagiku', 'begitu', 'khas']","['aku', 'putar', 'ulang', 'ulang', 'bukan', 'hanya', 'ada', 'haru', 'karena', 'siar', 'rri', 'akhir', 'tapi', 'suara', 'radio', 'dan', 'para', 'siar', 'rri', 'bagi', 'begitu', 'khas']","['putar', 'berulang', 'ulang', 'haru', 'siaran', 'rri', 'suara', 'radio', 'penyiar', 'rri', 'bagiku', 'khas']","['putar', 'ulang', 'ulang', 'haru', 'siar', 'rri', 'suara', 'radio', 'siar', 'rri', 'bagi', 'khas']",aku putar ulang ulang bukan hanya ada haru karena siar rri akhir tapi suara radio dan para siar rri bagi begitu khas,putar berulang ulang haru siaran rri suara radio penyiar rri bagiku khas,putar ulang ulang haru siar rri suara radio siar rri bagi khas
